id,mileage,customer_id,dealership_id,interior_condition,powertrain,vehicle_type,structural_damage,exterior_condition,windshield,tires_status,tires_needs_new,tires_brand,wheels_alloy,wheels_size,wheels_condition,year,style,trans,engine,drivetrain,division,base_price,tires,seats,paint,color,interior_color,seconds_in_disposition,transports_count,bought_price,costs,profit
231,99055,9,6,2,2,Live-Trade,1,2,2,0,0,Other,0,0,0,0,0,0,0,Other,0,0,0,Leather,0,Blue,0,2101495,0,19500,310,good
370,104895,9,6,1,2,Live-Trade,1,1,2,0,0,BFGoodrich,0,17,1,2007,2dr Roadster 3.0si,6-speed Steptronic Automatic Transmission,6,Rear Wheel Drive,BMW,39010,0,Leather,0,Alpine White,Beige,1576440,0,9000,125,bad
389,11228,6,5,1,2,Live-Trade,1,1,2,0,1,Yokohama,0,10,2,2015,4dr Auto 2.5i Limited PZEV,Automatic,4 Cyl,All Wheel Drive,Subaru,26313,0,Leather,0,Quartz Blue Pearl,Gray,868668,0,24650,400,average
391,11107,9,6,2,2,Front-Line CPO,1,2,2,0,1,Michelin,1,17,2,2013,4dr Sdn RWD,Automatic,6,Rear Wheel Drive,Lexus,43945,0,Leather,0,Satin Cashmere Metallic,Flaxen,549338,0,34700,0,average
403,32997,9,6,2,2,Live-Trade,1,1,2,4,0,Continental Tire,1,18,1,2012,4dr Sdn Lux,Automatic,4,Front Wheel Drive,Volkswagen,30131,0,Leather,0,Deep Black Metallic,Cornsilk Beige/Black,103333,0,13700,350,good
407,37045,41,32,2,2,Live-Trade,1,1,2,2,2,Michelin,1,16,1,2011,4dr Wgn SE w/RSE,Automatic,V6,Front Wheel Drive,Volkswagen,32404,0,Leather,0,Deep Claret Metallic,Sierra Stone,447954,0,14500,0,good
408,30020,41,32,2,2,Front-Line,1,1,2,0,1,Goodyear,1,19,2,2012,"4WD Crew Cab 143.5"" SLE","Transmission, 4-Speed Automatic, Electronically Controlled","Engine, Vortec 5.3L Variable Valve Timing V8 Sfi Flexfuel With Active Fuel Management",Four Wheel Drive,GMC,33833,0,"Seats, Front 40/20/40 Split-Bench",0,Quicksilver Metallic,Ebony,99044,0,27000,0,average
411,33700,32,27,2,2,Front-Line CPO,1,2,2,0,1,Bridgestone,1,18,1,2013,4dr SEL FWD,6-Speed Automatic Transmission,3.5L Ti-Vct V6 Engine,Front Wheel Drive,Ford,29001,0,Cloth,0,Deep Impact Blue Metallic,Charcoal Black,543397,0,18000,200,average
418,30077,41,32,2,2,Front-Line CPO,1,2,2,0,0,Kumho Tires,1,18,2,2011,4dr Sdn V6 CVT 3.5 SV w/Premium Pkg,Automatic,V6,Front Wheel Drive,Nissan,31550,0,Leather,0,Super Black,Charcoal,197000,0,18000,0,bad
425,45490,41,32,2,2,Live-Trade,1,2,2,0,1,Bridgestone,1,19,2,2012,FWD 4dr Denali,"Transmission, 6-Speed Automatic, Electronically Controlled","Engine, 3.6L Sidi V6",Front Wheel Drive,GMC,42569,0,Reclining Front Buckets,0,White Diamond Tricoat,Cashmere,40672,0,27200,185,good
416,61661,41,32,2,2,Live-Trade,1,2,2,0,1,Michelin,1,17,2,2011,RWD 4dr Limited,5-Speed Automatic Transmission,3.6L Vvt V6 Flex-Fuel Engine,Rear Wheel Drive,Jeep,34626,0,Leather,0,Brilliant Black Crystal Pearl,Black Interior,40550,0,21500,150,average
409,17278,41,32,2,2,Live-Trade,1,2,2,0,1,Michelin,1,17,2,2014,Double Cab 4.0L V6 5-Spd AT SR (Natl),Automatic,V6,Rear Wheel Drive,Toyota,25059,0,Cloth,0,Super White,Graphite,30962,0,23200,0,good
427,20717,41,32,2,2,Front-Line CPO,1,2,2,0,0,Kumho Tires,1,16,2,2014,4dr Wgn Touring,Transmission: 6-Speed Automatic 62Te,Engine: 3.6L V6 24V Vvt,Front Wheel Drive,Chrysler,29534,0,"Dk Frost Beige/Med Beige, Leather Trimmed Bucket Seats",0,Cashmere/Sandstone Pearlcoat,Dk Frost Beige/Med Beige,27858,0,20000,35,good
440,2429,54,40,2,2,Live-Trade,1,2,2,4,0,Goodyear,1,19,2,2006,2dr Cpe,"Transmission, 6-Speed Manual, Short-Throw","Engine, 6.0L V8 Sfi",Rear Wheel Drive,Chevrolet,39102,0,"Seats, Front Bucket With Leather Seating Surfaces",0,Velocity Yellow Tintcoat,Ebony,102736,0,25000,150,average
467,57523,41,32,2,2,Live-Trade,1,2,2,0,0,Goodyear,0,18,2,2011,4WD 4dr,Automatic,V8,Four Wheel Drive,Lexus,47209,0,Leather,0,Satin Cashmere Metallic,Ecru,254014,0,32700,0,average
474,53532,63,3,2,2,Front-Line,1,2,2,0,0,Continental Tire,0,20,2,2012,AWD 4dr 35d,Automatic,Diesel ,All Wheel Drive,BMW,52165,0,Leather,0,Alpine White,Tobacco,11115,0,33600,0,average
480,30412,41,32,2,2,Live-Trade,1,1,1,0,0,Kumho Tires,0,18,2,2012,3dr Cpe Auto w/Red Int,Automatic,4Cyl,Front Wheel Drive,Hyundai,17887,0,Leather,0,Boston Red Metallic,Black/Red,603107,0,12400,150,good
530,21365,63,3,2,2,Live-Trade,1,2,2,4,0,BFGoodrich,0,13,2,2007,2dr Cpe Z06,"Transmission, 6-Speed Manual, Short-Throw","Engine, 7.0L (427 Ci) Ls7 V8 Sfi",Rear Wheel Drive,Chevrolet,61911,0,"Seats, Front Bucket With Perforated Leather Seating Surfaces",0,Velocity Yellow Tintcoat,Ebony,1829480,0,29000,0,good
532,23145,9,6,2,2,Front-Line CPO,1,2,2,0,0,Bridgestone,0,18,2,2014,4dr Sport Sdn Auto RWD,Automatic,V6,Rear Wheel Drive,Lexus,33573,0,Leather,0,Atomic Silver,Light Gray,274812,0,28000,0,average
559,131879,9,6,1,2,Live-Trade,1,1,2,0,0,Michelin,0,18,2,2007,AWD 4dr,"Transmission, 6-Speed Automatic, Heavy-Duty, 6L80E, Electronically Controlled","Engine, Vortec 6.2L Variable Valve Timing V8 Sfi",All Wheel Drive,Cadillac,52933,0,"Seats, Front Bucket With Leather Seating Surfaces",0,White Diamond Tricoat,Cocoa/Cashmere,784347,0,16300,359,bad
563,28679,32,27,2,2,Front-Line,1,2,2,0,0,Other,0,18,2,2013,5dr HB ST,6-Speed Manual Transmission,2.0L Gtdi I4 Ecoboost Engine,Front Wheel Drive,Ford,22100,0,Leather,0,Tuxedo Black Metallic,Charcoal Black,18703,0,18000,0,average
560,66366,9,6,1,2,Front-Line CPO,1,2,2,0,0,Goodyear,0,18,2,2010,2dr Conv,Automatic,V6,Rear Wheel Drive,Lexus,40399,0,Leather,0,Obsidian,Alabaster,102546,0,23300,0,good
621,64364,41,32,2,2,Live-Trade,1,2,2,0,0,Michelin,0,18,2,2010,2WD 4dr Eddie Bauer,6-Speed Automatic Transmission W/Od,5.4L Sohc 24-Valve V8 Ffv Engine,Rear Wheel Drive,Ford,38630,0,Leather,0,Oxford White,Camel,5324,0,21800,50,good
697,21276,78,56,2,2,Live-Trade,1,2,2,0,0,Michelin,0,13,2,2013,5dr EX-L,Automatic,3.5 Soho I-Vtec 24V,Front Wheel Drive,Honda,32203,0,Leather,0,Alabaster Silver Metallic,Gray,12151,0,26000,0,average
665,39838,32,27,2,2,Live-Trade,1,0,2,0,4,Bridgestone,0,17,2,2012,FWD 4dr S,6-Speed Manual Getrag Transmission,4,Front Wheel Drive,MINI,22815,0,Leather,0,Absolute Black Metallic,Carbon Black,975414,0,15000,-365,good
718,9498,41,32,2,2,Live-Trade,1,2,2,0,0,Toyo,0,18,2,2013,FWD 4dr Limited (Natl),Automatic,4Cyl,Front Wheel Drive,Toyota,25254,0,Leather,0,Blizzard Pearl,Ash,345498,0,23500,260,average
773,57413,43,34,2,2,Front-Line,1,1,2,0,0,Other,0,18,1,2012,"4WD Crew Cab 143.5"" LT","Transmission, 6-Speed Automatic, Electronically Controlled","Engine, Vortec 5.3L Variable Valve Timing V8 Sfi Flexfuel With Active Fuel Management",Four Wheel Drive,Chevrolet,33452,0,"Seats, Front Bucket",0,Graystone Metallic,Ebony,439264,0,25200,150,good
774,24691,43,34,2,2,Front-Line,1,2,2,1,0,Bridgestone,0,17,1,2013,4dr Sdn,Automatic,3.5,Front Wheel Drive,Lexus,34068,0,Leather,0,Starfire Pearl,Parchment,439249,0,27400,0,average
